id,title,released,developer,publisher,released_on
978,"Dunkle Schatten 2: Im Netzwerk Gefangen","","","",
979,"Dusk of the Gods",1991,"Event Horizon Software",Interstel,1991-01-01
980,"Dylan Dog: Through the Looking Glass","","","",
981,D!Zone,1995,"WizardWorks Software","WizardWorks Software",1995-01-01
982,"D!Zone 150","","","",
983,"D!Zone 2","","","",
984,"D!Zone 2 150","","","",
985,"D!Zone 3","","","",
986,"D!Zone Gold","","","",
987,E-Motion,1990,"The Assembly Line","U.S. Gold",1990-01-01
988,"Eagle Eye Mysteries",1993,"Stormfront Studios",EA*Kids,1993-01-01
989,"Eagle Eye Mysteries in London",1994,"Stormfront Studios",EA*Kids,1994-01-01
990,"Earl Weaver Baseball",1987,"Don Daglow, Eddie Dombrower","Electronic Arts",1987-01-01
991,"Earth 2140",1997,TopWare,"TopWare, Interplay Entertainment",1997-01-01
992,"Earth 2140: Mission Pack 1",1998,TopWare,TopWare,1998-01-01
993,"Earth 2140: Mission Pack 2 - Final Conflict",1998,TopWare,TopWare,1998-01-01
994,"Earthly Delights",1983,Datamost,Datamost,1983-01-01
995,Earthrise,1990,"Interstel Corporation","Interstel Corporation",1990-01-01
996,"Earthworm Jim",1995,"Shiny Entertainment",Activision,1995-01-01
997,"East vs. West: Berlin 1948",1989,"Time Warp Productions","Rainbow Arts",1989-01-01
998,Echelon,1988,"Access Software","Access Software",1988-01-01
999,"Eco Phantoms",1990,"Splinter Vision","Electronic Zoo",1990-01-01
1000,"EcoQuest - The Search for Cetus",1991,"Sierra Entertainment","Sierra Entertainment",1991-01-01
1001,"EcoQuest2 - Lost Secret of the Rainforest",1993,"Sierra Entertainment","Sierra Entertainment",1993-01-01
1002,Ecstatica,1994,"Andrew Spencer Studios",Psygnosis,1994-01-01
1003,"Ecstatica II",1997,"Andrew Spencer Studios",Psygnosis,1997-01-01
1004,"Ed Chess",1994,"Personal Companion Software","Personal Companion Software",1994-01-01
1005,"Eden Blues",1987,"ERE Informatique","ERE Informatique",1987-01-01
1006,"Education Series: General Knowledge Builder",1989,"Disk-Count Software","Disk-Count Software",1989-01-01
1007,EF2000,1995,"Digital Image Design","Ocean Software",1995-01-01
1008,"EF2000 TACTCOM",1996,"Digital Image Design","Ocean Software",1996-01-01
1009,"EF2000: Special Edition",1996,"Digital Image Design","Ocean Software",1996-01-01
1010,EGA-Roids,1986,"Designer Software","Designer Software",1986-01-01
1011,EGATrek,1992,"Arcanum Computing","Sofsource, Inc.",1992-01-01
1012,"Eight Ball Deluxe",1993,LittleWing,Amtex,1993-01-01
1013,"El Capitan Trueno",1990,"Dinamic Software","Dinamic Software",1990-01-01
1014,"Elder Scrolls: Arena",1994,"Bethesda Softworks","Bethesda Softworks",1994-01-01
1015,"Elder Scrolls: Daggerfall",1996,"Bethesda Softworks","Bethesda Softworks",1996-01-01
1016,"Elder Scrolls Legends: Battlespire",1997,"Bethesda Softworks","Bethesda Softworks",1997-01-01
1017,Electranoid,1994,"Pixel Painters","Pixel Painters",1994-01-01
1018,Electroman,1993,"xLand Games","Epic Megagames",1993-01-01
1019,Elevator,1986,Wordworks,Wordworks,1986-01-01
1020,Elf,1992,"Ocean Software","Ocean Software",1992-01-01
1021,El-Fish,1993,AnimaTek,"Mindscape, Maxis",1993-01-01
1022,ElfLand,1992,"Carl Erikson",Unknown,1992-01-01
1023,"Elisabeth I",1995,Ascaron,Ascaron,1995-01-01
1024,Elite,1987,"Realtime Games","Firebird Software",1987-01-01
1025,"Elite Plus",1991,"Realtime Games","Rainbird Software",1991-01-01
1026,"El Principio del Fin",1994,"BASS Software","BASS Software",1994-01-01
1027,"Elvira: Mistress of the Dark",1990,Horrorsoft,"Accolade Inc.",1990-01-01
1028,"Elvira: The Arcade Game",1991,"Flair Software","Flair Software",1991-01-01
1029,"Elvira II: The Jaws of Cerberus",1992,Horrorsoft,"Accolade Inc.",1992-01-01
1030,"Emergency Room","","","",
1031,"Emilio Butragueno Futbol",1987,"Dro Soft","Dro Soft",1987-01-01
1032,"Emmanuelle: A Game of Eroticism","","","",
1033,"Empire: Wargame of the Century",1987,"Northwest Software","Interstel Corporation",1987-01-01
1034,"Empire Deluxe",1993,"White Wolf Productions","New World Computing",1993-01-01
1035,"Empire Soccer 94",1994,Graftgold,"Empire Interactive",1994-01-01
1036,Enchanter,1986,Infocom,Infocom,1986-01-01
1037,EnCore,1993,"Core Design","Core Design",1993-01-01
1038,Encounter,1984,"","",1984-01-01
1039,"Encyclopedia of War - Ancient Battles","","","",
1040,Endgame,"","","",
1041,"Energie Manager","","","",
1042,"England Championship Special","","","",
1043,Entity,1994,Loriciel,Loriciel,1994-01-01
1044,"Epic Pinball",1993,"Digital Extremes","Epic MegaGames",1993-01-01
1045,Eradicator,1996,"Accolade Inc.","Accolade Inc.",1996-01-01
1046,"Eric the Unready",1993,"Legend Entertainment","Legend Entertainment",1993-01-01
1047,"Escape from Delirium","","","",
1048,"Escape from Hell",1990,"Electronic Arts","Electronic Arts",1990-01-01
1049,"Escape from the Planet of the Robot Monsters",1990,"Tengen Inc.",Domark,1990-01-01
1050,"ESPN Extreme Games",1996,"Sony Interactive Studios America","Sony Interactive Studios America",1996-01-01
1051,Essex,"","","",
1052,"E.S.S. Mega","","","",
1053,"Eternal Destiny","","","",
1054,Eternam,1992,Infogrames,Infogrames,1992-01-01
1055,"European Champions",1994,"Audiogenic Software","Ocean Software",1994-01-01
1056,"European Championship 1992",1992,Tecmo,"Elite Systems",1992-01-01
1057,"European Racers","","","",
1058,"Evasive Action",1993,"Software Toolworks","Software Toolworks",1993-01-01
1059,"Eve Burst Error","","","",
1060,"Even More Incredible Machine, The","","","",
1061,Evolution,1982,"","Sydney Development Corp.",1982-01-01
1062,"Excelsior Phase one: Lysandia","","","",
1063,Executioners,1992,"Bloodlust Software","Bloodlust Software",1992-01-01
1064,"Executive Suite",1982,"Armonk Corporation","Armonk Corporation",1982-01-01
1065,"Exodus: Journey to the Promised Land",1991,"Color Dreams","Wisdom Tree",1991-01-01
1066,Exploration,1994,"Software 2000","Software 2000",1994-01-01
1067,"Exterminator, The",1982,Nufekop,"Bubble Bus Software",1982-01-01
1068,"Extreme Assault",1997,"Blue Byte","Blue Byte",1997-01-01
1069,"Extreme Pinball",1995,"Epic Games","Electronic Arts",1995-01-01
1070,"Extreme Rise of the Triad",1995,"Apogee Software","Apogee Software",1995-01-01
1071,"Eye of Horus",1989,"Denton Designs","Mindscape, Prism Leisure",1989-01-01
1072,"Eye of the Beholder",1991,"Westwood Studios","Strategic Simulations",1991-01-01
1073,"Eye of the Beholder II - The Legend of Darkmoon",1991,"Westwood Studios","Strategic Simulations",1991-01-01
1074,"Eye of the Beholder III - Assault on Myth Drannor",1993,"Strategic Simulations","Softgold Computerspiele",1993-01-01
1075,"Eye of the Beholder Trilogy",1995,"Strategic Simulations, Westwood Studios","Softgold Computerspiele",1995-01-01
1076,"Eye of the Storm",1993,"Rebellion Developments","Rebellion Developments",1993-01-01
1077,"F-117A Nighthawk Stealth Fighter 2.0",1991,MicroProse,MicroProse,1991-01-01
1078,"F-14 Tomcat",1990,Activision,Activision,1990-01-01
1079,"F-15 Strike Eagle",1984,MicroProse,MicroProse,1984-01-01
1080,"F-15 Strike Eagle II",1989,MicroProse,MicroProse,1989-01-01
1081,"F-15 Strike Eagle II: Operation Desert Storm Scenario Disk",1992,MicroProse,MicroProse,1992-01-01
1082,"F-15 Strike Eagle III",1993,MicroProse,MicroProse,1993-01-01
1083,"F-16 Combat Pilot",1989,"Digital Integration","Digital Integration",1989-01-01
1084,"F-19 Stealth Fighter",1994,MicroProse,Kixx,1994-01-01
1085,"F-22 Lightning II",1996,NovaLogic,NovaLogic,1996-01-01
1086,"F29 Retaliator",1989,"Digital Image Design","Ocean Software",1989-01-01
1087,Fable,1996,"Simbiosis Interactive","Telstar Electronic Studios",1996-01-01
1088,"Face Off!",1989,"Mindspan Technologies",Gamestar,1989-01-01
1089,FaceMaker,1982,DesignWare,"Spinnaker Software Corporation",1982-01-01
1090,Faces,1990,"Sphere, Inc.","Spectrum Holobyte",1990-01-01
1091,"Fade to Black",1995,"Electronic Arts","Delphine Software",1995-01-01
1092,"Faery Tale Adventure: Book I",1987,MicroIllusions,MicroIllusions,1987-01-01
1093,"Fahrenheit 451",1984,"Byron Preiss Video Productions","Trillium Corp.",1984-01-01
1094,Falcon,1987,"Sphere, Inc.","Spectrum Holobyte",1987-01-01
1095,"Falcon 3.0",1991,"Sphere, Inc.","Spectrum Holobyte",1991-01-01
1096,"Falcon 3.0: Hornet: Naval Strike Fighter",1993,"Spectrum Holobyte","Spectrum Holobyte",1993-01-01
1097,"Falcon 3.0: MiG-29",1993,"Spectrum Holobyte","Spectrum Holobyte",1993-01-01
1098,"Falcon 3.0: Operation Fighting Tiger",1992,"Spectrum Holobyte","Spectrum Holobyte",1992-01-01
1099,"Falcon A.T.",1988,"Sphere, Inc.","Spectrum Holobyte",1988-01-01
1100,"Falcon Gold",1994,"Spectrum Holobyte",MicroProse,1994-01-01
1101,"Fallen Angel",1989,"Emerald Software","Screen 7",1989-01-01
1102,Fallout,1997,"Black Isle Studios","Interplay Entertainment",1997-01-01
1103,"Family Feud",1987,"I.J.E., Inc., Softie, Inc.",ShareData,1987-01-01
1104,"Fantastic Adventures of Dizzy, The",1991,"Oliver Twins",Codemasters,1991-01-01
1105,"Fantastic Fossils","","","",
1106,"Fantastic Fossils II","","","",
1107,"Fantastic Four","","","",
1108,"Fantasy 5","","","",
1109,"Fantasy Empires",1993,"Strategic Simulations","Silicon Knights",1993-01-01
1110,"Fantasy Fest!","","","",
1111,"Fantasy General",1996,"Strategic Simulations",Mindscape,1996-01-01
1112,"Fantasy Pack","","","",
1113,"Fantasy Pak","","","",
1114,"Fantasy World Dizzy",1989,"Oliver Twins",Codemasters,1989-01-01
1115,"Farland Story",1992,"Technical Group Laboratory","Technical Group Laboratory",1992-01-01
1116,"Farland Story Denki: Arc Ou no Ensei",1993,"Technical Group Laboratory","Technical Group Laboratory",1993-01-01
1117,"Farland Story: Shirogane no Tsubasa",1994,"Technical Group Laboratory","Technical Group Laboratory",1994-01-01
1118,"Farland Story: Tenshi no Namida",1994,"Technical Group Laboratory","Technical Group Laboratory",1994-01-01
1119,"Farland Story: Daichi no Kizuna",1995,"Technical Group Laboratory","Technical Group Laboratory",1995-01-01
1120,"Farland Story: Kamigami no Isen",1996,"Technical Group Laboratory","Technical Group Laboratory",1996-01-01
1121,Fascination,"","","",
1122,"Fast Attack: High Tech Submarine Warfare","","","",
1123,"Fast Break",1988,"Accolade Inc.","Accolade Inc.",1988-01-01
1124,"Fast Food",1989,Codemasters,Codemasters,1989-01-01
1125,"Fatal Fumes","","","",
1126,"Fates of Twinion","","","",
1127,"Fatty Bear's Birthday Surprise",1995,Humongous,Humongous,1995-01-01
1128,"Fatty Bear's FunPack",1993,Humongous,Humongous,1993-01-01
1129,"Fellowship of the Ring, The",1986,"Beam Software","Addison-Wesley Publishing Company",1986-01-01
1130,"Fernando Martín Basket Master",1990,"Dinamic Software","Dinamic Software",1990-01-01
1131,"Ferrari Formula One",1988,"Imagetic Design","Electronic Arts",1988-01-01
1132,Feud,1988,"Binary Design",Mastertronic,1988-01-01
1133,F.Godmom,1991,"Soggybread Software","Soggybread Software",1991-01-01
1134,"Fidelity Chessmaster 2100",1988,"Software Toolworks","Software Toolworks",1988-01-01
1135,"Fields of Glory",1993,Microprose,Microprose,1993-01-01
1136,"Fiendish Freddy's Big Top O' Fun","","","",
1137,"FIFA International Soccer",1994,"EA Canada","Electronic Arts",1994-01-01
1138,"FIFA Soccer 96",1995,"Extended Play Productions","Electronic Arts",1995-01-01
1139,"FIFA Soccer 97",1996,"EA Canada","Electronic Arts",1996-01-01
1140,"Fighter Duel","","","",
1141,"Fighter Wing","","","",
1142,"Final Assault","","","",
1143,"Final Conflict, The","","","",
1144,"Final Crusade of Kroz, The",1990,"Scott Miller","Apogee Software",1990-01-01
1145,"Final Doom",1996,"id Software, TeamTNT, Casali brothers","GT Interactive",1996-01-01
1146,"Fire and Forget",1988,"Titus Software","Titus Software",1988-01-01
1147,"Fire and Forget 2: The Death Convoy",1990,"Titus Software","Titus Software",1990-01-01
1148,"Fire Brigade","","","",
1149,"Fire Hawk: Thexder The Second Contact",1989,"Game Arts","Sierra On-Line",1989-01-01
1150,"Fire & Ice",1992,Graftgold,"Renegade Software",1992-01-01
1151,"Fire King",1990,"Strategic Studies Group","Micro Forte",1990-01-01
1152,"Fire Power",1988,"Silent Software",MicroIllusions,1988-01-01
1153,"First Expedition","","","",
1154,"First Mile, The","","","",
1155,"First Samurai, The",1992,"Vivid Image",Ubisoft,1992-01-01
1156,Fish!,1988,"Magnetic Scrolls","Rainbird Software",1988-01-01
1157,"Five-a-Side Indoor Soccer",1986,"Mastertronic Group","Mastertronic Group",1986-01-01
1158,"Flames of Freedom",1991,"Maelstrom Games",MicroProse,1991-01-01
1159,"Flamingo Tours","","","",
1160,"Flashback: The Quest for Identity",1993,"Delphine Software","U.S. Gold",1993-01-01
1161,"Flash Traffic: City of Angels",1994,"Tsunami Games","Tsunami Games",1994-01-01
1162,"Fleet Defender",1994,Microprose,Microprose,1994-01-01
1163,"Fleet Defender Gold",1995,Microprose,Microprose,1995-01-01
1164,"Fleet Sweep",1983,"Mirror Images Software","Mirror Images Software",1983-01-01
1165,"Flies Attack on Earth","","","",
1166,"Flight Assignment: Airline Transport Pilot",1990,SubLOGIC,SubLOGIC,1990-01-01
1167,Flightmare,1984,"Peter Adams","",1984-01-01
1168,"Flight of the Amazon Queen",1995,"Interactive Binary Illusions","Renegade Software",1995-01-01
1169,"Flight of the Intruder",1990,"Rowan Software","Spectrum Holobyte",1990-01-01
1170,"Flight Unlimited",1995,"Looking Glass Technologies","Softgold Computerspiele",1995-01-01
1171,"Flippy's Circus Coins","","","",
1172,FlixMix,"","","",
1173,Floatris,"","","",
1174,"Floor 13",1992,"David J Eastman","Virgin Interactive",1992-01-01
1175,"Floppy Frenzy",1982,"Windmill Software","Windmill Software",1982-01-01
1176,"Flying Corps",1996,"Rowan Software","Empire Interactive",1996-01-01
1177,"Flying Corps Gold",1997,"Rowan Software","Empire Interactive",1997-01-01
1178,"Flying Tigers",1993,Ticsoft,Ticsoft,1993-01-01
1179,"Flying Tigers II",1994,Ticsoft,Ticsoft,1994-01-01
1180,Fooblitzky,1985,Infocom,Infocom,1985-01-01
1181,"Fool's Errand, The",1987,"Cliff Johnson","Miles Computing",1987-01-01
1182,Football,1986,subLOGIC,subLOGIC,1986-01-01
1183,"Football Glory",1995,Croteam,"Black Legend",1995-01-01
1184,"Football Manager","","","",
1185,"Football Manager 2",1988,"Addictive Games","Addictive Games",1988-01-01
1186,"Footy Fanatic","","","",
1187,"Forbidden Castle",1985,Angelsoft,Mindscape,1985-01-01
1188,"Forbidden Quest",1983,"Pryority Software","Pryority Software",1983-01-01
1189,"Ford Simulator 5.0","","","",
1190,"Ford Simulator III","","","",
1191,"Ford Simulator, The","","","",
1192,"Forgotten Realms Archives, The",1997,"Strategic Simulations","Interplay Entertainment",1997-01-01
1193,"Forgotten Worlds",1991,Capcom,"U.S. Gold",1991-01-01
1194,"Fourth Protocol, The",1985,"Electronic Pencil Company","Hutchinson Computer Publishing",1985-01-01
1195,"Fortress of Dr. Radiaki, The","","","",
1196,"Fountain of Dreams",1990,"Electronic Arts","Electronic Arts",1990-01-01
1197,"Four Card Solitaire","","","",
1198,FourSide,"","","",
1199,Fowlplay,"","","",
1200,Frac,1990,"Simsalabim Software","Simsalabim Software",1990-01-01
1201,"Fragile Allegiance",1996,"Gremlin Interactive, Cajji Software","Gremlin Interactive",1996-01-01
1202,Framed,1995,Machination,Machination,1995-01-01
1203,"Franko: The Crazy Revenge","","","",
1204,"Frank Thomas' Big Hurt Baseball",1995,"Iguana Entertainment","Acclaim Entertainment",1995-01-01
1205,"Freakin' Funky Fuzzballs",1990,Sir-Tech,Sir-Tech,1990-01-01
1206,"Freddy Fish",1983,"Mirror Images Software","Mirror Images Software",1983-01-01
1207,"Freddy Hardest",1988,"Dinamic Software","Dinamic Software",1988-01-01
1208,"Freddy Hardest in South Manhattan",1989,"Iron Byte","Dinamic Software",1989-01-01
1209,"Freddy Pharkas: Frontier Pharmacist",1993,"Al Lowe, Josh Mandel","Sierra On-Line",1993-01-01
1210,"Freddy's Rescue Roundup",1984,IBM,IBM,1984-01-01
1211,"Frederik Pohl's Gateway",1992,"Legend Entertainment","Legend Entertainment",1992-01-01
1212,"Free D.C!","","","",
1213,"FriendlyWare P.C. Arcade",1983,FriendlySoft,FriendlySoft,1983-01-01
1214,"FriendlyWare PC Introductory Set",1983,FriendlySoft,FriendlySoft,1983-01-01
1215,"Fritz 2 chess","","","",
1216,Frogger,1983,Konami,"Sierra On-Line",1983-01-01
1217,"Frogger II: Three Deep",1984,"Parker Brothers",Sega,1984-01-01
1218,"Frontier: Elite II",1993,GameTek,"GameTek, Konami",1993-01-01
1219,"Frontier: First Encounters",1995,"Frontier Developments","GameTek, Konami",1995-01-01
1220,"Front Lines","","","",
1221,"Front Page Sports: Baseball '94",1994,Dynamix,"Sierra On-Line",1994-01-01
1222,"Front Page Sports: Football",1992,Dynamix,"Sierra On-Line",1992-01-01
1223,"Front Page Sports: Football Pro",1993,Dynamix,Dynamix,1993-01-01
1224,"Front Page Sports: Football Pro '96 Season",1995,Dynamix,"Sierra On-Line",1995-01-01
1225,"Fuck Quest",1998,"Richard Eter","",1998-01-01
1226,"Fuck Quest 2: Romancing the Bone",2004,"Richard Eter, Heywood Jablowmey","",2004-01-01
1227,"Full Count Baseball",1984,"Lance Haffner Games","Lance Haffner Games",1984-01-01
1228,"Full Metal Planete","","","",
1229,"Full Throttle",1995,LucasArts,LucasArts,1995-01-01
1230,"Full Wormage, The",1998,Team17,"Hasbro Interactive",1998-01-01
1231,Funball,"","","",
1232,"Funny Face 2","","","",
1233,"Funny Fruits puzzle","","","",
1234,"Fun School 2 for Under-6s",1989,"Database Educational Software","Database Educational Software",1989-01-01
1235,"Fun School 2 for 6 to 8 Year Olds",1989,"Database Educational Software","Database Educational Software",1989-01-01
1236,"Fun School 2 for Over-8s",1989,"Database Educational Software","Database Educational Software",1989-01-01
1237,"Fun School 3 for Under 5s",1991,"Database Educational Software","Database Educational Software",1991-01-01
1238,"Fun School 3 for 5 to 7 Year Olds",1989,"Database Educational Software","Database Educational Software",1989-01-01
1239,"Fun School 3 for Over 7s",1989,"Database Educational Software","Database Educational Software",1989-01-01
1240,"Fun School 4 for Ages 7-11",1992,"Europress Software","Europress Software",1992-01-01
1241,"Fun School: Spelling",1995,"Europress Software","Europress Software",1995-01-01
1242,"Fury of the Furries",1993,"Kalisto Entertainment","Kalisto Entertainment",1993-01-01
1243,"Future Wars",1989,"Delphine Software","Delphine Software",1989-01-01
1244,"Fuzzy's World of Miniature Space Golf","","","",
1245,"FX Fighter",1995,"Argonaut Software","GTE Entertainment, Philips Interactive Media",1995-01-01
1246,"Gabriel Knight: Sins of the Fathers",1993,"Sierra On-Line","Sierra On-Line",1993-01-01
1247,"Gadget: Invention, Travel, & Adventure",1993,"Synergy, Inc.","Synergy, Inc.",1993-01-01
1248,"Galacta: The Battle for Saturn","","","",
1249,"Galactic Battle","","","",
1250,"Galactic Conqueror","","","",
1251,"Galactic Empire",1990,Tomahawk,"Coktel Vision",1990-01-01
1252,"Galactic Gladiators",1983,"Strategic Simulations","Strategic Simulations",1983-01-01
1253,"Galactic Warrior Rats","","","",
1254,Galactix,1992,"Cygnus Software","Cygnus Software",1992-01-01
1255,Galaxian,1983,Namco,Atari,1983-01-01
1256,"Galaxy Trek",1982,"Larry E. Jordan","Capital PC Software Exchange",1982-01-01
1257,"Galleons of Glory: The Secret Voyage of Magellan","","","",
1258,"Game of Life, The","","","",
1259,"Game of Robot, The","","","",
1260,"Game Over",1988,"Dinamic Software","Imagine Software",1988-01-01
1261,"Game Over II",1987,"Dinamic Software","Dinamic Software",1987-01-01
1262,"Games '92: Espana","","","",
1263,"Games People Play: Gin, Cribbage, Checkers and Backgammon","","","",
1264,"Games - Summer Challenge","","","",
1265,"Games - Summer Edition","","","",
1266,"Games - Winter Challenge",1991,Ballistic,"Accolade Inc.",1991-01-01
1267,"Games - Winter Edition","","","",
1268,"Game With No Name, The","","","",
1269,"Gamma Force in Pit of a Thousand Screams",1988,"Tom Snyder Productions",Infocom,1988-01-01
1270,"Gamma Wing","","","",
1271,"Ganja Farmer","","","",
1272,Gapper,1986,Unknown,Unknown,1986-01-01
1273,"Gary Grigsby's Pacific War",1992,"Strategic Simulations","Strategic Simulations",1992-01-01
1274,"Gary Grigsby's Pacific War",2000,"Matrix Games","Matrix Games",2000-01-01
1275,"Gary Grigsby's War in Russia",1993,"Strategic Simulations","Strategic Simulations",1993-01-01
1276,"Gateway II: Homeworld",1993,"Legend Entertainment","Legend Entertainment",1993-01-01
1277,"Gateway to the Savage Frontier",1991,"Stormfront Studios","Strategic Simulations",1991-01-01
1278,Gateworld,1993,"Homebrew Software","Homebrew Software",1993-01-01
1279,GATO,1983,"Spectrum Holobyte","Spectrum Holobyte",1983-01-01
1280,Gauntlet,1988,Atari,Mindscape,1988-01-01
1281,"Gauntlet II",1989,Atari,Mindscape,1989-01-01
1282,"Gazza II",1991,"Empire Software","Empire Software",1991-01-01
1283,"GBA Championship Basketball: Two-on-Two",1986,Dynamix,Activision,1986-01-01
1284,"Gear Works","","","",
1285,"Geekwad: Games of the Galaxy",1992,"Tsunami Games","Tsunami Games",1992-01-01
1286,"Geheimprojekt DMSO","","","",
1287,Geisha,"","","",
1288,Gemfire,1992,Koei,Koei,1992-01-01
1289,"Gender Wars",1996,"The 8th Day",SCi,1996-01-01
1290,"Gene Machine, The",1996,"Bullfrog Productions","Electronic Arts",1996-01-01
1291,Genewars,1996,"Bullfrog Productions","Electronic Arts",1996-01-01
1292,"Genghis Khan",1989,Koei,Koei,1989-01-01
1293,"Genghis Khan II: Clan of the Gray Wolf",1993,Koei,Koei,1993-01-01
1294,Genocide,"","","",
1295,"Gettysburg: The Turning Point","","","",
1296,Ghostbusters,1986,Activision,Activision,1986-01-01
1297,"Ghostbusters II",1989,Dynamix,Activision,1989-01-01
1298,"Ghosts 'N Goblins",1987,Capcom,Capcom,1987-01-01
1299,Gladiator,1995,"Forgotten Sages","Forgotten Sages",1995-01-01
1300,"Global Conquest",1992,"Microplay Software","Microplay Software",1992-01-01
1301,"Global Dilemma: Guns or Butter","","","",
1302,"Global Domination",1993,"Impressions Games","Impressions Games",1993-01-01
1303,"Global Effect","","","",
1304,"Gnome Ranger",1987,"Level 9","Level 9",1987-01-01
1305,Goal,"","","",
1306,"Goal 94","","","",
1307,"Goal II","","","",
1308,Gobliiins,1992,"Coktel Vision","Coktel Vision",1992-01-01
1309,"Gobliins 2: The Prince Buffoon",1992,"Coktel Vision","Sierra On-Line",1992-01-01
1310,"Goblins Quest 3",1993,"Coktel Vision","Sierra On-Line",1993-01-01
1311,Gobman,"","","",
1312,"Godfather, The",1991,"U.S. Gold","U.S. Gold",1991-01-01
1313,"God of Thunder",1993,"Adept Software","Software Creations",1993-01-01
1314,Gods,1991,"Bitmap Brothers","Renegade software",1991-01-01
1315,"Golden Axe",1989,"Virgin Games","Virgin Games",1989-01-01
1316,"Golden Basket",1990,"Opera Sports","Opera Soft",1990-01-01
1317,"Gold of the Americas: The Conquest of the New World","","","",
1318,"Gold of the Aztecs, The",1990,"Opera Sports","Opera Soft",1990-01-01
1319,"Gold Rush!",1988,"Doug MacNeill, Ken MacNeill","Sierra Entertainment",1988-01-01
1320,"Gone Fishin'",1994,SimGraph,Amtex,1994-01-01
1321,Goody,1987,"Opera Soft","Opera Soft",1987-01-01
1322,Gorillas,1991,"Microsoft Game Studios","Microsoft Game Studios",1991-01-01
1323,"Graeme Souness Soccer Manager","","","",
1324,Grailquest,"","","",
1325,"Grandest Fleet, The",1993,"Fogstone Enterprises","Quantum Quality Productions",1993-01-01
1326,"Grand Fleet","","","",
1327,"Grandmaster Chess",1993,IntraCorp,"Capstone Software",1993-01-01
1328,"Grand Monster Slam",1989,"Golden Goblins","Rainbow Arts",1989-01-01
1329,"Grand Prix 2",1995,MicroProse,MicroProse,1995-01-01
1330,"Grand Prix 500 2","","","",
1331,"Grand Prix Circuit",1988,"Random Access, Distinctive Software","Accolade Inc.",1988-01-01
1332,"Grand Prix Master","","","",
1333,"Grand Prix Unlimited","","","",
1334,"Grand Theft Auto",1997,"DMA Design, Tarantula Studios","ASC Games",1997-01-01
1335,"Grand Theft Auto: London 1969",1999,"DMA Design, Tarantula Studios, Rockstar Canada, Runecraft","ASC Games",1999-01-01
1336,"Grave Yardage","","","",
1337,"Gravity Force",1989,"Kingsoft GmbH","Kingsoft GmbH",1989-01-01
1338,"Great Courts 2","","","",
1339,"Great Escape, The",1986,"Denton Designs","Ocean Software",1986-01-01
1340,"Great Naval Battles: Guadalcanal 1942-1943",1994,"Strategic Simulations","Strategic Simulations",1994-01-01
1341,"Great Naval Battles: North Atlantic 1939-1943",1992,"Strategic Simulations","Strategic Simulations",1992-01-01
1342,"Great Naval Battles: Fury in the Pacific 1941-1944",1995,"Strategic Simulations","Strategic Simulations",1995-01-01
1343,Gremlins,1984,Atari,Atari,1984-01-01
1344,"Gremlins 2 - The New Batch",1991,"Hi-Tech Expressions","Hi-Tech Expressions",1991-01-01
1345,"Gremlins 2 - The New Batch",1990,"Topo Soft","Elite Systems, Erbe Software",1990-01-01
1346,Greystone,"","","",
1347,"GT Racing 97","","","",
1348,"Guardians of Infinity: To Save Kennedy","","","",
1349,"Guerrilla War",1987,SNK,"Data East",1987-01-01
1350,"Guild of Thieves, The",1987,"Magnetic Scrolls","Rainbird Software",1987-01-01
1351,Guilty,"","","",
1352,Guimo,1997,"Southlogic Studios","Cia do Software",1997-01-01
1353,"Gulf Strike","","","",
1354,Gunboat,1990,"Accolade Inc.","Accolade Inc.",1990-01-01
1355,Gunmetal,1998,"Mad Genius Software","Mad Genius Software",1998-01-01
1356,Gunship,1991,MicroProse,MicroProse,1991-01-01
1357,"Gunship 2000",1991,MicroProse,MicroProse,1991-01-01
1358,"Gunship 2000 Scenario Disk and Mission Builder",1992,MicroProse,MicroProse,1992-01-01
1359,"Guy Spy and the Crystals of Armageddon",1992,ReadySoft,ReadySoft,1992-01-01
1360,Hack,1984,"Don Kneller","",1984-01-01
1361,Hacker,1985,Activision,Activision,1985-01-01
1362,"Hacker II: The Doomsday Papers",1986,Activision,Activision,1986-01-01
1363,"Halls of Montezuma - A Battle History of the United States Marine Corps",1990,"Strategic Studies Group","Strategic Studies Group",1990-01-01
1364,"Halls of the Dead: Faery Tale Adventure II","","","",
1365,"Hammer Boy","","","",
1366,"Hammer of the Gods",1994,"Holistic Design","New World Computing",1994-01-01
1367,Hamurabi,1996,"","",1996-01-01
1368,"Handy Caps","","","",
1369,Hannibal,"","","",
1370,"Hanse: Die Expedition","","","",
1371,"Haral Hårdtand: Kampen om de rene tænder","","","",
1372,Hardball!,1987,"Accolade Inc.","Accolade Inc.",1987-01-01
1373,"Hardball II",1989,"Distinctive Software","Accolade Inc.",1989-01-01
1374,"Hardball III",1992,MindSpan,"Accolade Inc.",1992-01-01
1375,"Hardball III MLBPA Players Disk",1992,MindSpan,"Accolade Inc.",1992-01-01
1376,"Hardball 4",1994,MindSpan,"Accolade Inc.",1994-01-01
1377,"Hardball 5",1995,MindSpan,"Accolade Inc.",1995-01-01
1378,"Hard Drivin'",1990,"Atari Games",Domark,1990-01-01
1379,"Hard Drivin' II",1991,"Tengen Inc.",Domark,1991-01-01
